Date,AAPL,MSFT,GOOGL,NVDA,META,JNJ,PFE,UNH,JPM,BAC,V,KO,PG,MCD,AMZN,XOM,CVX,CAT,HON,T,VZ,TSM,BABA,NVO,SHEL,VALE,ITUB,AMX,FMX,SPY,EFA,EEM,AGG,GLD,XLE
2021-06-30,133.50205993652344,259.9819030761719,121.01642608642578,19.933549880981445,344.68310546875,143.12669372558594,30.307424545288086,366.8055725097656,137.0778350830078,36.478729248046875,225.23892211914062,46.670310974121094,118.80339813232422,205.92469787597656,172.00799560546875,52.486812591552734,85.31281280517578,198.9989776611328,186.36180114746094,15.90354061126709,41.079837799072266,110.76338958740234,213.411865234375,37.624149322509766,33.48088073730469,14.016597747802734,3.1458399295806885,13.017203330993652,73.37982940673828,400.0780029296875,67.38616943359375,49.034236907958984,98.55836486816406,165.6300048828125,22.454227447509766
2021-07-31,142.17730712890625,273.42724609375,133.54232788085938,19.43178939819336,353.1983337402344,149.60797119140625,33.43238067626953,377.59619140625,134.53500366210938,33.9394645690918,237.34759521484375,49.18883514404297,126.01852416992188,216.3729248046875,166.37950134277344,47.902103424072266,82.9262924194336,190.0648956298828,198.63015747070312,15.878018379211426,41.35597610473633,107.51866149902344,183.68402099609375,41.590023040771484,33.66319274902344,12.916656494140625,3.021723508834839,14.633158683776855,75.8631591796875,409.8449401855469,67.90729522705078,45.87790298461914,99.6588363647461,169.82000732421875,20.586862564086914
2021-08-31,148.2183380126953,290.2679138183594,143.42572021484375,22.3117733001709,376.07745361328125,151.309814453125,35.978267669677734,381.30596923828125,141.7767333984375,36.93879699707031,220.9929962158203,48.56783676147461,126.16030883789062,212.85321044921875,173.5395050048828,46.05092239379883,79.88377380371094,193.85243225097656,197.81845092773438,15.521402359008789,40.77767562866211,109.70333099365234,157.1463623046875,45.14485549926758,33.33269500732422,11.71839714050293,3.117809295654297,17.1906681060791,75.29007720947266,422.0417785644531,68.88972473144531,46.59808349609375,99.45915985107422,169.69000244140625,20.174203872680664
2021-09-30,138.13404846191406,271.07568359375,132.50106811523438,20.648237228393555,336.43560791015625,141.14556884765625,33.58856201171875,359.1766662597656,145.09178161621094,37.750606536865234,214.86769104003906,45.59735107421875,123.86555480957031,216.1249542236328,164.2519989013672,49.6829719543457,83.74713897705078,176.47769165039062,181.07415771484375,15.289318084716797,40.04367446899414,103.34161376953125,139.32281494140625,43.35658264160156,37.365150451660156,9.471458435058594,2.7722039222717285,15.529605865478516,75.29875946044922,402.3724670410156,66.64295959472656,44.7932014465332,98.54688262939453,164.22000122070312,21.976062774658203
2021-10-31,146.23660278320312,318.8638916015625,146.74478149414062,25.48336410522461,320.7532653808594,142.3516845703125,34.15866470336914,423.2740173339844,151.49481201171875,42.49054718017578,204.27622985839844,48.98652267456055,127.47732543945312,220.10487365722656,168.6215057373047,54.45531463623047,94.51167297363281,188.58157348632812,186.48214721679688,14.668497085571289,39.7540168762207,105.23906707763672,155.21717834472656,49.73295593261719,38.49692153930664,8.643128395080566,2.598466634750366,15.626282691955566,71.36537170410156,430.6042785644531,68.7615737915039,45.273319244384766,98.53829956054688,166.64999389648438,24.245811462402344
2021-11-30,161.60340881347656,318.45501708984375,140.6503448486328,32.5691032409668,321.635498046875,137.17022705078125,42.32864761352539,408.3366394042969,141.63233947753906,39.5469856262207,187.2422332763672,45.933448791503906,128.89483642578125,220.4688262939453,175.35350036621094,51.22382354736328,94.25125885009766,178.727783203125,173.25559997558594,13.25739574432373,37.713417053222656,108.43234252929688,120.01241302490234,48.24272537231445,35.61544418334961,8.398703575134277,2.5348618030548096,15.480643272399902,61.8623161315918,427.14447021484375,65.6434326171875,43.42396926879883,98.80516815185547,165.5,23.030780792236328
2021-12-31,173.5990447998047,323.9747009277344,143.578857421875,29.318382263183594,333.4220275878906,150.48870849609375,46.519771575927734,463.0834655761719,141.20431518554688,39.75520324707031,209.40943908691406,51.85354995727539,145.83355712890625,241.62335205078125,166.7169952392578,52.379432678222656,97.99224090576172,191.1051483154297,178.6269989013672,14.285231590270996,38.98129653930664,111.81781005859375,111.78761291503906,50.57740783691406,36.767608642578125,9.518983840942383,2.426788091659546,18.75984001159668,67.95758819580078,446.8988952636719,68.52579498291016,44.07840347290039,98.45072937011719,170.9600067138672,23.717878341674805
2022-01-31,170.8714141845703,299.5648193359375,134.11428833007812,24.40888786315918,310.5330810546875,151.5619659423828,41.82493209838867,435.8134460449219,133.3043212890625,41.2296028137207,218.5507354736328,53.4299201965332,143.8154754638672,233.85379028320312,149.57350158691406,65.02275085449219,109.6661376953125,187.220947265625,175.17453002929688,15.208902359008789,40.415199279785156,113.97405242919922,118.3749771118164,45.09969711303711,43.54505920410156,10.306574821472168,3.0569632053375244,16.76032829284668,65.78008270263672,423.328857421875,66.0348892211914,44.06938552856445,96.48312377929688,168.08999633789062,28.170856475830078
2022-02-28,161.633056640625,288.4175109863281,133.86993408203125,24.30820655822754,209.19296264648438,145.70004272460938,37.2606315612793,438.8567199707031,127.20426940917969,39.49605941772461,209.1790313720703,54.50709915161133,139.7282257080078,221.849365234375,153.56300354003906,67.87271881103516,121.50856018066406,174.23545837402344,163.45065307617188,14.129364013671875,40.749271392822266,99.45661163330078,98.98930358886719,46.49057388305664,44.38376235961914,12.553925514221191,3.1346275806427,16.10271453857422,70.31001281738281,410.8334655761719,63.770442962646484,42.16548156738281,95.37773895263672,178.3800048828125,30.16230583190918
2022-03-31,170.92269897460938,297.60699462890625,137.84521484375,27.204702377319336,220.42433166503906,156.90843200683594,41.09464645385742,471.6961364746094,122.28829193115234,37.01329803466797,214.64764404296875,54.71255111694336,136.9585723876953,224.12429809570312,162.99749755859375,71.48184204101562,137.39752197265625,206.96849060058594,167.61123657226562,14.093579292297363,38.67650604248047,97.36804962158203,102.38650512695312,50.62971496582031,46.53560256958008,14.087677001953125,3.705737829208374,18.795387268066406,72.45254516601562,426.2768859863281,64.10140228271484,40.739810943603516,92.69554138183594,180.64999389648438,32.97904586791992
