Date,AAPL,MSFT,GOOGL,NVDA,META,JNJ,PFE,UNH,JPM,BAC,V,KO,PG,MCD,AMZN,XOM,CVX,CAT,HON,T,VZ,TSM,BABA,NVO,SHEL,VALE,ITUB,AMX,FMX,SPY,EFA,EEM,AGG,GLD,XLE
2022-11-30,1724847700,615296000,716522700,10600603000,1063791200,138341800,419484600,77563700,227228500,700345500,157867300,269982400,133869800,68987800,2035133200,368035500,161679400,69076700,70465150,803114100,425726700,357723500,646646800,58247800,90606045,789236200,1245834337,41089900,12587200,1745985300,504615900,1018370100,151586500,114967900,1040048000
2022-12-31,1675731200,591358700,603127800,8946152000,653019800,129803700,423156900,53391900,202046000,893060200,136789100,245985300,132270900,53148200,1549193300,376504300,159616000,60974600,59995625,824021900,561027500,261392300,436422600,56107600,93946421,562397000,860162838,34328800,10906300,1735973600,470342500,847004900,182228100,106815500,870196200
2023-01-31,1443652500,666168100,672897800,9454960000,548770600,160524000,522769000,81009900,209965200,809281100,127618800,260737100,150059100,54160400,1523798600,329848000,181801800,70851700,64139996,777779600,481294300,318689500,439904600,60031400,82819201,431833500,643628750,29459500,11091000,1575450100,414398000,801886700,163155500,118786700,709624600
2023-02-28,1307198900,615501000,952580200,10393479000,772170900,164776500,403988700,69806800,169562800,616776700,94454300,265889400,121960300,54146200,1364102000,311238300,165049000,60486800,68361503,563079500,307120700,259738900,405955300,50562600,102249978,394281500,728939798,36664100,19096000,1603094700,339025900,664354800,136172900,113802300,682873000
2023-03-31,1520266600,747635000,859933900,11263731000,690053000,185723800,504067700,72714700,458474400,2061004500,167770500,335455500,154929200,61783200,1349240300,412537000,205951500,76608800,77314541,660086700,479096100,237414100,661813700,65591000,132932243,606248700,1007921447,38492200,12325600,2515995800,563179000,818248800,178250900,223186600,1162036400
2023-04-30,969776400,551520000,604106300,7436450000,446687900,146071300,387645900,66301900,242865000,1028255800,119559700,213353900,115636100,50750900,1224234500,293296700,130963400,63100300,52160140,777362300,365380700,192482300,440696100,54888200,78205258,480444600,473574967,13714100,8162300,1395780500,270145800,513404400,102268700,170988100,641563400
2023-05-31,1275364700,600856900,820611200,11697819000,487130000,132116300,678041800,53963700,235306100,1047826900,128252400,295754100,130125300,51919100,1433039100,332367700,164365100,64188600,53010216,860967600,414662400,296515100,468436700,62124400,94999731,448214300,598103222,32970000,8442800,1780909100,347515100,590097800,147935400,182184900,880958200
2023-06-30,1297383300,547702200,656851900,10527050000,481150500,146417700,562641300,92429200,206562200,968664200,155904500,319428000,133142700,53051700,1242936000,322616800,180574500,71071500,52988889,804580900,444531200,247204000,334287800,52715800,103863077,486661600,432490802,22123600,11471100,1749901500,353847700,635685100,154341400,133968200,846668400
2023-07-31,996114000,666746800,708341900,8706845000,625139900,201429600,441642200,89695700,231261000,968946700,113725500,256300000,134093200,46829300,1058873500,350375000,137343100,50207500,64440473,1286010600,690253300,197701600,422715900,48119400,95060557,424306500,416027291,25911900,8352600,1374698500,264207400,612413700,147772500,99844800,751374200
2023-08-31,1322657800,479476200,593329000,13632152000,424505900,1084863300,537104500,52516400,169299800,809814400,101036600,204577100,110238900,51985200,1210688300,315906900,165270900,67903100,60483474,814063900,468347700,186436400,397527000,92845400,87602620,451872800,515505712,65035100,12405900,1754892500,310099800,641205000,189197000,140384300,834280400
2023-09-30,1337823000,416742300,477599300,8579273000,406770000,147237700,554689100,60028500,172239300,777431200,114064900,310386900,104374400,50646900,1120505300,320591300,153209100,41498000,61890571,700361400,424562000,168502600,229575200,89019400,103461214,448262300,331724614,50422000,10418800,1588981600,279770400,549399300,156122000,122800000,814126600
2023-10-31,1172816900,540950200,680747700,10141101000,511352700,152895100,681416300,62296800,244013000,1225398800,129130100,387937700,141703400,78820500,1224668600,493940300,225457300,67585900,65260307,950762300,588554800,206491500,256193600,113059800,142088401,470236700,404626817,56705700,14443700,1999294400,438081500,692259600,217450300,222528100,1044131000
2023-11-30,1099651600,563894000,535233300,9144618000,329280700,131079400,607150200,55879800,162193400,891085100,131298000,274963000,133586300,60945100,1026039500,433374000,229113600,65310300,56590030,613150400,394973300,186181200,416397200,99922200,103276266,461977600,348623761,29877500,14015500,1500017600,299083400,603634500,189882200,143757900,817821400
2023-12-31,1063181200,522081700,619995600,7411887000,334625900,146547300,1178554900,61591700,184769100,863795100,109996700,313528700,143351400,59253700,931322200,453936600,222841200,65939600,63521328,801940700,419630200,173291500,414759700,73612200,107475774,355556800,313838168,24534800,7024600,1643624300,325707700,619171200,200149800,153605600,750461600
